source_type,source_name,full_name,html_url,homepage,pages_url,description,owner_login,primary_language,detected_stack,topics,license_name,stars,forks,watchers,open_issues,archived,fork,private,created_at,updated_at,pushed_at,default_branch,latest_release_tag,latest_release_url,latest_commit_date,latest_commit_sha,latest_commit_message,readme_path,tree_truncated,total_tree_entries,top_level_dirs,top_level_files,important_files,deployment_hints,deployment_links,notes
org,Team-ASHTOJ,Team-ASHTOJ/Aerosense,https://github.com/Team-ASHTOJ/Aerosense,,,,Team-ASHTOJ,JavaScript,Python; JavaScript; React; FastAPI,,,0,2,0,0,False,False,False,2025-10-12T18:08:46Z,2025-10-12T18:14:22Z,2025-10-12T18:13:33Z,main,,,2025-10-12T18:13:32Z,f773f2b69a7fe703ace1a53d570c6a2f3a56a466,Add files via upload,README.md,False,80,__pycache__; backend; frontend,README.md,README.md,github_pages,,
org,Team-ASHTOJ,Team-ASHTOJ/argo-prototype-1,https://github.com/Team-ASHTOJ/argo-prototype-1,,,,Team-ASHTOJ,Python,Python,,,0,0,0,0,False,False,False,2025-09-16T18:33:16Z,2025-09-28T12:24:33Z,2025-09-28T12:24:30Z,main,,,2025-09-28T12:24:20Z,8fe7989251bd49b6f832921c0e6edf59c00e5da3,prototype,README.md,False,26,.github; backend; data_ingestion; frontend; scripts; vector_db,.gitignore; README.md; requirements.txt,README.md; requirements.txt,streamlit,,
org,Team-ASHTOJ,Team-ASHTOJ/Maxhealth,https://github.com/Team-ASHTOJ/Maxhealth,,,No2 and O2 predictions and modeling for the city of delhi,Team-ASHTOJ,Python,Python; JavaScript; React; FastAPI,,,0,1,0,0,False,False,False,2025-10-11T09:33:43Z,2026-01-29T19:08:32Z,2026-01-29T19:08:06Z,main,,,2026-01-29T19:07:55Z,97beab3e0eb02c3b6a005da0f95d08c0c2cb55ed,Resolve README merge conflict,README.md,False,101,Data_SIH_2025; Prototype-1; backend; frontend,.gitignore; README.md,README.md,github_pages,,
org,Team-ASHTOJ,Team-ASHTOJ/SIH-scrape,https://github.com/Team-ASHTOJ/SIH-scrape,,,,Team-ASHTOJ,Python,Python,,,0,1,0,0,False,False,False,2025-10-01T19:06:58Z,2025-10-11T09:30:20Z,2025-10-11T09:30:17Z,main,,,2025-10-11T09:30:17Z,8263d1d0b1caaa398142d5e5506db2296294aaab,"Merge pull request #1 from DevXOmar/main

Implement Argo data scraping script",README.md,False,4,,ARGOdatascrape.py; README.md; sih'25-scrape.py; sih-scrape2.py,README.md,,,
org,Team-ASHTOJ,Team-ASHTOJ/sih_bloackchain,https://github.com/Team-ASHTOJ/sih_bloackchain,,,,Team-ASHTOJ,Python,Python; Flask; Docker,,,0,0,0,0,False,False,False,2025-11-29T19:11:34Z,2025-11-29T19:28:56Z,2025-11-29T19:28:53Z,main,,,2025-11-29T19:28:48Z,d54fa6f52c08318a4ffae86f3c887943395cf9f3,added dyanic db access,README.md,False,5,,Dockerfile; README.md; app.py; docker-compose.yml; requirements.txt,Dockerfile; README.md; app.py; docker-compose.yml; requirements.txt,docker,,
org,Team-ASHTOJ,Team-ASHTOJ/TattvaDrishti,https://github.com/Team-ASHTOJ/TattvaDrishti,,,,Team-ASHTOJ,JavaScript,Python; JavaScript; React; Next.js; FastAPI; Docker; Data Science / ML,,,0,3,0,0,False,False,False,2025-10-12T18:06:59Z,2026-01-08T12:35:15Z,2026-01-08T12:35:12Z,main,,,2026-01-08T12:35:06Z,c8226fdf6ddd4b84e93b49db6b38350926a7ecf3,Team_info added,README.md,False,115,app; docs; frontend; samples; scripts; tests,.gitignore; .python-version; AUTOCOMMIT_OVERVIEW.md; BLOCKCHAIN_QUICKSTART.md; Dockerfile; FIX_SUMMARY.md; FULL_PROJECT_DOCUMENTATION.md; MULTI_NODE_GUIDE.md; PROJECT_OVERVIEW.md; README.md; SHARING_ARCHITECTURE.md; TattvaDrishti; Team_info.txt; autocommit.py; docker-compose.yml; requirements.lock; requirements.txt; rustup-init.exe,Dockerfile; README.md; docker-compose.yml; requirements.txt,docker; github_pages; vercel,,
org,Team-ASHTOJ,Team-ASHTOJ/Tethys,https://github.com/Team-ASHTOJ/Tethys,,,Conversational AI model for ARGO data,Team-ASHTOJ,Python,Python; Data Science / ML,,,0,1,0,0,False,False,False,2025-09-30T18:50:20Z,2025-09-30T19:06:53Z,2025-09-30T19:06:50Z,main,,,2025-09-30T19:06:50Z,d919767aa2aa0700bf14faecc05d0e308dae7b93,Update README.md,README.md,False,74,Tethys,README.md,README.md,streamlit,,
org,Team-Aston,Team-Aston/rakshak-files,https://github.com/Team-Aston/rakshak-files,,,,Team-Aston,Python,Python,,,0,1,0,0,False,False,False,2025-04-19T05:02:15Z,2025-05-08T10:07:10Z,2025-05-08T10:07:07Z,main,,,2025-05-08T10:07:07Z,340f7a6a8a4f2cdf3e57a48d28febf9ab15ec42a,Update rover_control3.py,,False,22,rover_control,finaltry.py; jetson_client.py; jetson_client2.py; newTest.py; newTest2.py; pixhawk_json.py; sameple_json; try.py; try2.py; try3.py; try4.py; try5.py; try6.py; try7.py; try8.py; try9.py; trynew.py,,,,No README found via API.
org,Team-Aston,Team-Aston/RakshakWeb,https://github.com/Team-Aston/RakshakWeb,,,,Team-Aston,Python,Python; JavaScript,,,0,0,0,0,False,False,False,2025-04-13T14:15:01Z,2025-05-04T10:21:08Z,2025-05-04T10:21:04Z,main,,,2025-05-04T10:21:22Z,9f5f0a6102e5feed30f33d4c583c52a68c77495d,Merge branch 'main' of https://github.com/shoaib2000857/WebApp,,False,57,ALLONSERVER; NEWAPP; rover-app; server,.gitignore; jetson_client.py; jetsonbackup.py,,,,No README found via API.
user,shoaib2000857,shoaib2000857/100-Days-Of-Code,https://github.com/shoaib2000857/100-Days-Of-Code,https://100-days-of-code-seven.vercel.app,,,shoaib2000857,Python,Python; JavaScript,,,0,0,0,0,False,False,False,2024-12-25T18:59:39Z,2025-01-21T11:01:27Z,2025-01-21T11:01:23Z,main,,,2025-01-21T05:31:19Z,6809cd44253d6a72901891cf7aac8bd3bcec2347,minor changes to t10m,README.md,False,95,Coffee&Wifi; LibraryManager; ProjectWebsite; SQL; blog; forms; top10movies,README.md,README.md,github_pages; vercel,https://100-days-of-code-seven.vercel.app,
